id,HandStart,FirstDigitTouch,BothStartLoadPhase,LiftOff,Replace,BothReleased
subj1_series9_10,0,0,0,0,0,0
subj1_series9_11,0,0,0,0,0,0
subj1_series9_12,0,0,0,0,0,0
subj1_series9_13,0,0,0,0,0,0
subj1_series9_14,0,0,0,0,0,0
subj1_series9_15,0,0,0,0,0,0
subj1_series9_16,0,0,0,0,0,0
subj1_series9_17,0,0,0,0,0,0
subj1_series9_18,0,0,0,0,0,0
subj1_series9_19,0,0,0,0,0,0
subj1_series9_20,0,0,0,0,0,0
subj1_series9_21,0,0,0,0,0,0
subj1_series9_22,0,0,0,0,0,0
subj1_series9_23,0,0,0,0,0,0
subj1_series9_24,0,0,0,0,0,0
subj1_series9_25,0,0,0,0,0,0
subj1_series9_26,0,0,0,0,0,0
subj1_series9_27,0,0,0,0,0,0
subj1_series9_28,0,0,0,0,0,0
subj1_series9_29,0,0,0,0,0,0
subj1_series9_30,0,0,0,0,0,0
subj1_series9_31,0,0,0,0,0,0
subj1_series9_32,0,0,0,0,0,0
subj1_series9_33,0,0,0,0,0,0
subj1_series9_34,0,0,0,0,0,0
subj1_series9_35,0,0,0,0,0,0
subj1_series9_36,0,0,0,0,0,0
subj1_series9_37,0,0,0,0,0,0
subj1_series9_38,0,0,0,0,0,0
subj1_series9_39,0,0,0,0,0,0
subj1_series9_40,0,0,0,0,0,0
subj1_series9_41,0,0,0,0,0,0
subj1_series9_42,0,0,0,0,0,0
subj1_series9_43,0,0,0,0,0,0
subj1_series9_44,0,0,0,0,0,0
subj1_series9_45,0,0,0,0,0,0
subj1_series9_46,0,0,0,0,0,0
subj1_series9_47,0,0,0,0,0,0
subj1_series9_48,0,0,0,0,0,0
subj1_series9_49,0,0,0,0,0,0
subj1_series9_50,0,0,0,0,0,0
subj1_series9_51,0,0,0,0,0,0
subj1_series9_52,0,0,0,0,0,0
subj1_series9_53,0,0,0,0,0,0
subj1_series9_54,0,0,0,0,0,0
subj1_series9_55,0,0,0,0,0,0
subj1_series9_56,0,0,0,0,0,0
subj1_series9_57,0,0,0,0,0,0
subj1_series9_58,0,0,0,0,0,0
subj1_series9_59,0,0,0,0,0,0
subj1_series9_60,0,0,0,0,0,0
subj1_series9_61,0,0,0,0,0,0
subj1_series9_62,0,0,0,0,0,0
subj1_series9_63,0,0,0,0,0,0
subj1_series9_64,0,0,0,0,0,0
subj1_series9_65,0,0,0,0,0,0
subj1_series9_66,0,0,0,0,0,0
subj1_series9_67,0,0,0,0,0,0
subj1_series9_68,0,0,0,0,0,0
subj1_series9_69,0,0,0,0,0,0
subj1_series9_70,0,0,0,0,0,0
subj1_series9_71,0,0,0,0,0,0
subj1_series9_72,0,0,0,0,0,0
subj1_series9_73,0,0,0,0,0,0
subj1_series9_74,0,0,0,0,0,0
subj1_series9_75,0,0,0,0,0,0
subj1_series9_76,0,0,0,0,0,0
subj1_series9_77,0,0,0,0,0,0
subj1_series9_78,0,0,0,0,0,0
subj1_series9_79,0,0,0,0,0,0
subj1_series9_80,0,0,0,0,0,0
subj1_series9_81,0,0,0,0,0,0
subj1_series9_82,0,0,0,0,0,0
subj1_series9_83,0,0,0,0,0,0
subj1_series9_84,0,0,0,0,0,0
subj1_series9_85,0,0,0,0,0,0
subj1_series9_86,0,0,0,0,0,0
subj1_series9_87,0,0,0,0,0,0
subj1_series9_88,0,0,0,0,0,0
subj1_series9_89,0,0,0,0,0,0
subj1_series9_90,0,0,0,0,0,0
subj1_series9_91,0,0,0,0,0,0
subj1_series9_92,0,0,0,0,0,0
subj1_series9_93,0,0,0,0,0,0
subj1_series9_94,0,0,0,0,0,0
subj1_series9_95,0,0,0,0,0,0
subj1_series9_96,0,0,0,0,0,0
subj1_series9_97,0,0,0,0,0,0
subj1_series9_98,0,0,0,0,0,0
subj1_series9_99,0,0,0,0,0,0
subj1_series9_100,0,0,0,0,0,0
subj1_series9_101,0,0,0,0,0,0
subj1_series9_102,0,0,0,0,0,0
subj1_series9_103,0,0,0,0,0,0
subj1_series9_104,0,0,0,0,0,0
subj1_series9_105,0,0,0,0,0,0
subj1_series9_106,0,0,0,0,0,0
subj1_series9_107,0,0,0,0,0,0
subj1_series9_108,0,0,0,0,0,0
subj1_series9_109,0,0,0,0,0,0
subj1_series9_110,0,0,0,0,0,0
subj1_series9_111,0,0,0,0,0,0
subj1_series9_112,0,0,0,0,0,0
subj1_series9_113,0,0,0,0,0,0
subj1_series9_114,0,0,0,0,0,0
subj1_series9_115,0,0,0,0,0,0
subj1_series9_116,0,0,0,0,0,0
subj1_series9_117,0,0,0,0,0,0
subj1_series9_118,0,0,0,0,0,0
subj1_series9_119,0,0,0,0,0,0
subj1_series9_120,0,0,0,0,0,0
subj1_series9_121,0,0,0,0,0,0
subj1_series9_122,0,0,0,0,0,0
subj1_series9_123,0,0,0,0,0,0
subj1_series9_124,0,0,0,0,0,0
subj1_series9_125,0,0,0,0,0,0
subj1_series9_126,0,0,0,0,0,0
subj1_series9_127,0,0,0,0,0,0
subj1_series9_128,0,0,0,0,0,0
subj1_series9_129,0,0,0,0,0,0
subj1_series9_130,0,0,0,0,0,0
subj1_series9_131,0,0,0,0,0,0
subj1_series9_132,0,0,0,0,0,0
subj1_series9_133,0,0,0,0,0,0
subj1_series9_134,0,0,0,0,0,0
subj1_series9_135,0,0,0,0,0,0
subj1_series9_136,0,0,0,0,0,0
subj1_series9_137,0,0,0,0,0,0
subj1_series9_138,0,0,0,0,0,0
subj1_series9_139,0,0,0,0,0,0
subj1_series9_140,0,0,0,0,0,0
subj1_series9_141,0,0,0,0,0,0
subj1_series9_142,0,0,0,0,0,0
subj1_series9_143,0,0,0,0,0,0
subj1_series9_144,0,0,0,0,0,0
subj1_series9_145,0,0,0,0,0,0
subj1_series9_146,0,0,0,0,0,0
subj1_series9_147,0,0,0,0,0,0
subj1_series9_148,0,0,0,0,0,0
subj1_series9_149,0,0,0,0,0,0
subj1_series9_150,0,0,0,0,0,0
subj1_series9_151,0,0,0,0,0,0
subj1_series9_152,0,0,0,0,0,0
subj1_series9_153,0,0,0,0,0,0
subj1_series9_154,0,0,0,0,0,0
subj1_series9_155,0,0,0,0,0,0
subj1_series9_156,0,0,0,0,0,0
subj1_series9_157,0,0,0,0,0,0
subj1_series9_158,0,0,0,0,0,0
subj1_series9_159,0,0,0,0,0,0
subj1_series9_160,0,0,0,0,0,0
subj1_series9_161,0,0,0,0,0,0
subj1_series9_162,0,0,0,0,0,0
subj1_series9_163,0,0,0,0,0,0
subj1_series9_164,0,0,0,0,0,0
subj1_series9_165,0,0,0,0,0,0
subj1_series9_166,0,0,0,0,0,0
subj1_series9_167,0,0,0,0,0,0
subj1_series9_168,0,0,0,0,0,0
subj1_series9_169,0,0,0,0,0,0
subj1_series9_170,0,0,0,0,0,0
subj1_series9_171,0,0,0,0,0,0
subj1_series9_172,0,0,0,0,0,0
subj1_series9_173,0,0,0,0,0,0
subj1_series9_174,0,0,0,0,0,0
subj1_series9_175,0,0,0,0,0,0
subj1_series9_176,0,0,0,0,0,0
subj1_series9_177,0,0,0,0,0,0
subj1_series9_178,0,0,0,0,0,0
subj1_series9_179,0,0,0,0,0,0
subj1_series9_180,0,0,0,0,0,0
subj1_series9_181,0,0,0,0,0,0
subj1_series9_182,0,0,0,0,0,0
subj1_series9_183,0,0,0,0,0,0
subj1_series9_184,0,0,0,0,0,0
subj1_series9_185,0,0,0,0,0,0
subj1_series9_186,0,0,0,0,0,0
subj1_series9_187,0,0,0,0,0,0
subj1_series9_188,0,0,0,0,0,0
subj1_series9_189,0,0,0,0,0,0
subj1_series9_190,0,0,0,0,0,0
